Month,ZipCode,ZipName,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
2017-09-01,78734.0,"Austin, TX",572800.0,-0.0122,,228.0,-0.1197,,87.0,0.2083,,54.0,-0.069,-0.0357,6.0,,0.0,58.0,-0.3095,-0.275,55.0,-0.1129,0.1702,941800.0,-0.0082,0.051,283.0,-0.1184,-0.1868,0.2412,0.0018,0.0851
2017-09-01,78735.0,"Austin, TX",1006300.0,0.1212,-0.1153,101.0,-0.0472,-0.0901,119.0,0.0721,0.4691,20.0,-0.0909,-0.375,2.0,0.0,,24.0,-0.2,-0.0769,16.0,0.0,-0.1579,1237100.0,-0.0182,-0.1486,117.0,-0.041,-0.1,0.1584,0.0075,-0.0128
2017-09-01,78736.0,"Austin, TX",586200.0,0.2238,0.1712,23.0,-0.08,0.2105,59.0,0.1569,-0.1194,8.0,-0.3333,0.3333,0.0,,,10.0,-0.5,0.6667,9.0,0.125,-0.1818,733100.0,0.1059,0.0021,32.0,-0.0303,0.0667,0.3913,0.0713,-0.1876
2017-09-01,78737.0,"Austin, TX",518200.0,-0.0063,0.0395,131.0,0.0738,0.0234,64.0,0.0492,-0.1688,38.0,-0.05,0.3571,6.0,0.0,0.5,50.0,-0.0741,0.1905,22.0,-0.0833,-0.12,577000.0,-0.0128,-0.0007,153.0,0.0479,0.0,0.1679,-0.0288,-0.0274
2017-09-01,78738.0,"Austin, TX",635300.0,0.0089,0.0606,325.0,-0.0269,0.1364,93.0,0.2078,0.1071,68.0,0.0303,0.1724,16.0,0.6,0.3333,88.0,-0.2903,0.0,41.0,-0.2115,-0.1458,884400.0,0.0056,0.0834,366.0,-0.0518,0.0958,0.1262,-0.0295,-0.0417
2017-09-01,78739.0,"Austin, TX",511200.0,0.0033,0.0257,69.0,-0.0921,0.0781,62.0,0.3778,0.2653,18.0,-0.3571,0.0,4.0,,1.0,26.0,-0.381,0.0,29.0,0.2083,-0.275,557900.0,-0.0075,0.0568,98.0,-0.02,-0.0577,0.4203,0.1045,-0.2047
2017-09-01,78741.0,"Austin, TX",344600.0,-0.0009,0.0339,64.0,-0.0857,-0.2099,64.0,0.2075,0.3061,14.0,-0.4167,-0.5625,2.0,-0.5,,24.0,-0.2941,1.4,43.0,-0.2182,0.7917,348300.0,0.0037,0.0317,107.0,-0.144,0.019,0.6719,-0.1138,0.3756
2017-09-01,78744.0,"Austin, TX",255000.0,-0.0222,-0.0395,37.0,-0.2128,-0.3509,48.0,0.1429,0.1429,18.0,-0.3571,0.0,2.0,,-0.5,16.0,-0.3333,-0.2727,27.0,-0.2703,-0.0357,258000.0,-0.0046,-0.0085,64.0,-0.2381,-0.2471,0.7297,-0.0575,0.2385
2017-09-01,78745.0,"Austin, TX",329500.0,-0.012,0.0477,106.0,-0.0783,-0.1092,41.0,0.1714,0.1714,46.0,-0.1786,-0.303,6.0,0.5,0.5,56.0,-0.125,-0.0345,73.0,-0.0875,-0.0519,339800.0,-0.0233,0.0344,179.0,-0.0821,-0.0867,0.6887,-0.007,0.0416
2017-09-01,78746.0,"Austin, TX",1395000.0,0.0478,-0.0742,189.0,-0.0455,0.0216,88.0,0.2055,0.0353,44.0,0.1579,0.1,0.0,-1.0,,44.0,-0.2667,-0.2414,44.0,-0.0435,0.0732,1876700.0,0.0318,-0.1778,233.0,-0.0451,0.031,0.2328,0.0005,0.0112
2017-09-01,78747.0,"Austin, TX",286900.0,-0.0255,0.0471,62.0,0.069,0.0164,37.0,0.1212,-0.3273,36.0,0.0588,0.125,2.0,-0.6667,-0.6667,14.0,-0.125,-0.5625,29.0,-0.0938,-0.0645,310200.0,-0.0032,0.0309,91.0,0.0111,-0.0109,0.4677,-0.084,-0.0405
2017-09-01,78748.0,"Austin, TX",311000.0,0.0032,,210.0,-0.0047,,54.0,0.4595,,56.0,-0.451,-0.0968,20.0,0.6667,,84.0,0.6154,0.3548,59.0,-0.1806,-0.2237,325900.0,-0.0142,0.0049,269.0,-0.0495,0.2117,0.281,-0.0603,-0.2396
2017-09-01,78749.0,"Austin, TX",389000.0,-0.0023,,84.0,-0.1683,,51.0,0.4571,,36.0,0.0,0.3846,2.0,-0.5,,52.0,-0.2353,1.0,53.0,0.0816,0.1277,386400.0,-0.0198,0.0754,137.0,-0.0867,0.5393,0.631,0.1458,-0.4881
2017-09-01,78750.0,"Austin, TX",463800.0,0.0131,-0.0476,88.0,-0.1456,0.1733,57.0,0.3902,-0.0172,36.0,0.2857,0.2,0.0,,,46.0,-0.1481,-0.1154,38.0,-0.0256,0.3571,449100.0,0.0088,-0.0451,126.0,-0.1127,0.2233,0.4318,0.0532,0.0585
2017-09-01,78751.0,"Austin, TX",471200.0,-0.0105,-0.1325,48.0,-0.0204,-0.1429,52.0,-0.1475,0.0833,12.0,-0.1429,-0.4,0.0,,,26.0,0.4444,0.1818,14.0,0.2727,-0.2632,525400.0,-0.0256,-0.0851,62.0,0.0333,-0.1733,0.2917,0.0672,-0.0476
2017-09-01,78753.0,"Austin, TX",255800.0,0.0236,-0.0281,50.0,0.3158,0.1628,46.0,0.2105,0.0952,30.0,0.5,0.25,4.0,0.0,1.0,28.0,0.0769,0.1667,26.0,-0.1875,0.1304,267300.0,-0.0137,-0.0169,76.0,0.0857,0.1515,0.52,-0.3221,-0.0149
2017-09-01,78754.0,"Austin, TX",266000.0,0.0061,,58.0,0.16,,29.0,-0.1944,,34.0,-0.0556,3.25,0.0,-1.0,,12.0,-0.5385,0.0,23.0,0.0455,-0.3784,276900.0,0.0191,-0.0779,81.0,0.125,0.0658,0.3966,-0.0434,-0.5522
2017-09-01,78756.0,"Austin, TX",599900.0,-0.1381,-0.0125,30.0,-0.2105,0.2,64.0,0.0492,0.0667,12.0,-0.1429,0.2,0.0,,,22.0,0.5714,1.2,14.0,-0.1765,0.4,612700.0,-0.0621,0.0203,44.0,-0.2,0.2571,0.4667,0.0193,0.0667
2017-09-01,78757.0,"Austin, TX",449200.0,-0.0018,-0.034,103.0,-0.0463,0.3919,55.0,0.25,0.4103,44.0,0.0,-0.0833,0.0,-1.0,,60.0,-0.1892,0.4286,44.0,-0.1698,0.4667,469800.0,0.0334,-0.0486,147.0,-0.087,0.4135,0.4272,-0.0636,0.0218
