caldt,sprtrn
10/31/2011,0.107723
11/30/2011,-0.005059
12/30/2011,0.008533
01/31/2012,0.043583
02/29/2012,0.040589
03/30/2012,0.031332
04/30/2012,-0.007497
05/31/2012,-0.062651
06/29/2012,0.039555
07/31/2012,0.012598
08/31/2012,0.019763
09/28/2012,0.024236
10/31/2012,-0.019789
11/30/2012,0.002847
12/31/2012,0.007068
01/31/2013,0.050428
02/28/2013,0.011061
03/28/2013,0.035988
04/30/2013,0.018086
05/31/2013,0.020763
06/28/2013,-0.014999
07/31/2013,0.049462
08/30/2013,-0.031298
09/30/2013,0.029749
10/31/2013,0.044596
11/29/2013,0.028049
12/31/2013,0.023563
01/31/2014,-0.035583
02/28/2014,0.043117
03/31/2014,0.006932
04/30/2014,0.006201
05/30/2014,0.021030
06/30/2014,0.019058
07/31/2014,-0.015080
08/29/2014,0.037655
09/30/2014,-0.015514
10/31/2014,0.023201
11/28/2014,0.024534
12/31/2014,-0.004189
01/30/2015,-0.031041
02/27/2015,0.054893
03/31/2015,-0.017396
04/30/2015,0.008521
05/29/2015,0.010491
06/30/2015,-0.021012
07/31/2015,0.019742
08/31/2015,-0.062581
09/30/2015,-0.026443
10/30/2015,0.082983
11/30/2015,0.000505
12/31/2015,-0.017530
01/29/2016,-0.050735
02/29/2016,-0.004128
03/31/2016,0.065991
04/29/2016,0.002699
05/31/2016,0.015329
06/30/2016,0.000906
07/29/2016,0.035610
08/31/2016,-0.001219
09/30/2016,-0.001234
10/31/2016,-0.019426
11/30/2016,0.034174
12/30/2016,0.018201
